星視界頻道,#genre#
大爱二台,https://dispatch.ulivetv.net/v/live/cl7c83atb64g.m3u8?stream_id=cl7c83atb64g&timestamp=1686210138&rand=EyUR8y82ji&uuid=9b647b3816b2a66a&from=web&sign=46780b70a4d8bf5fd363bddf4ff60397
大爱一台,https://dispatch.ulivetv.net/v/live/cl7c7r2jpg3k.m3u8?stream_id=cl7c7r2jpg3k&timestamp=1686210152&rand=yfrvm5UADc&uuid=9b647b3816b2a66a&from=web&sign=07b2e0240d56ee5adb6f169f9bdb8b85
中视,https://dispatch.ulivetv.net/v/live/cfm2qel2kn9c.m3u8?stream_id=cfm2qel2kn9c&timestamp=1686210166&rand=MxF7iL2rRQ&uuid=9b647b3816b2a66a&from=web&sign=58aa730761441c02840a76df3d2c6fb5
公视,https://dispatch.ulivetv.net/v/live/cg0hhu6qlpz4.m3u8?stream_id=cg0hhu6qlpz4&timestamp=1686210181&rand=uk4mMBNgT2&uuid=9b647b3816b2a66a&from=web&sign=d1886129d1cd49feb45145ea88dd82cc
公视3台,https://dispatch.ulivetv.net/v/live/cg0hro4vn54w.m3u8?stream_id=cg0hro4vn54w&timestamp=1686210195&rand=UqK9abIFwB&uuid=9b647b3816b2a66a&from=web&sign=9df32d0464d4ca11141b40fc53c3809d
东森超视,https://dispatch.ulivetv.net/v/live/cg169idwckw0.m3u8?stream_id=cg169idwckw0&timestamp=1686210237&rand=dMEwMu6Zbx&uuid=9b647b3816b2a66a&from=web&sign=2c6a040f1bcd873113e60d60f80fcf8d
TVBSAsia,https://dispatch.ulivetv.net/v/live/cg4krcc4nzr4.m3u8?stream_id=cg4krcc4nzr4&timestamp=1686210266&rand=Ji0OSKU6aY&uuid=9b647b3816b2a66a&from=web&sign=b17514f433c253c9546a649ddd9363a8
八大综合台,https://dispatch.ulivetv.net/v/live/cl7ckgyfn9vk.m3u8?stream_id=cl7ckgyfn9vk&timestamp=1686210280&rand=tTca7UGW2W&uuid=9b647b3816b2a66a&from=web&sign=889bb59d5d2e3e225ad0087c0b597fdc
客家电视台,https://dispatch.ulivetv.net/v/live/clectmxixadc.m3u8?stream_id=clectmxixadc&timestamp=1686210294&rand=y81My3dZnV&uuid=9b647b3816b2a66a&from=web&sign=e6ce9ca7b9ad3621c20a89c00c8ff062
华视,https://dispatch.ulivetv.net/v/live/cl7c69hc4m2o.m3u8?stream_id=cl7c69hc4m2o&timestamp=1686210337&rand=sssKGEQAFv&uuid=9b647b3816b2a66a&from=web&sign=97c32bb917ab693d865f9de7efcfddfc
纬来日本,https://dispatch.ulivetv.net/v/live/cl7c7d6a1j28.m3u8?stream_id=cl7c7d6a1j28&timestamp=1686210365&rand=nyL9OlU3vs&uuid=9b647b3816b2a66a&from=web&sign=305dc6c87fb6f7dbf84e547cd217ded7
纬来综合台,https://dispatch.ulivetv.net/v/live/cg1mbnhpe0u8.m3u8?stream_id=cg1mbnhpe0u8&timestamp=1686210379&rand=xhC9KwYFNu&uuid=9b647b3816b2a66a&from=web&sign=2546ac568be3bea06366134a10a89a13
八大第一台,https://dispatch.ulivetv.net/v/live/clijwtkn9eio.m3u8?stream_id=clijwtkn9eio&timestamp=1686210393&rand=ZFV05kIUGb&uuid=9b647b3816b2a66a&from=web&sign=3e69695b7d97b40a1ee90f7917651831
ELTA综合,https://dispatch.ulivetv.net/v/live/cl7cqw6n9sqo.m3u8?stream_id=cl7cqw6n9sqo&timestamp=1686210407&rand=dsWrwf7ZX1&uuid=9b647b3816b2a66a&from=web&sign=6d35a7006efbb98845dd0a89b7b7c328
TVBS新闻台,https://dispatch.ulivetv.net/v/live/cfxyummruo5c.m3u8?stream_id=cfxyummruo5c&timestamp=1686210422&rand=M05zaKK2rD&uuid=9b647b3816b2a66a&from=web&sign=585feba2a8439f48b012c1a3c35243d1
