OfiiiTV,#genre#
台視,https://ocean.ofiii.com/hls/v1/playlist/MaPVjZsC3aA/master.m3u8
中視,https://ocean.ofiii.com/hls/v1/playlist/mRXCSPjEQew/master.m3u8
華視,https://ocean.ofiii.com/hls/v1/playlist/uIxvoOVt4eM/master.m3u8
好消息2台,https://ocean.ofiii.com/hls/v1/playlist/8OHZpM73IN0/master.m3u8
好消息,https://ocean.ofiii.com/hls/v1/playlist/_rowbiBXPOI/master.m3u8
ELTV生活英語台,https://ocean.ofiii.com/hls/v1/playlist/Fs6Q-f9Soz0/master.m3u8
龍華卡通台,https://ocean.ofiii.com/hls/v1/playlist/XFWgZnJr4_M/master.m3u8
哆啦Ａ夢台,https://ocean.ofiii.com/hls/v1/playlist/wSXIKIowuJM/master.m3u8
亞洲旅遊台,https://ocean.ofiii.com/hls/v1/playlist/Q0KMoLJWeK8/master.m3u8
Smart知識台,https://ocean.ofiii.com/hls/v1/playlist/0dABTD2-Spc/master.m3u8
年代MUCH綜藝台,https://ocean.ofiii.com/hls/v1/playlist/6mBJ2K0yOGs/master.m3u8
龍華戲劇台,https://ocean.ofiii.com/hls/v1/playlist/h5sFvekJwU0/master.m3u8
台灣戲劇台,https://ocean.ofiii.com/hls/v1/playlist/zZauDkHGS50/master.m3u8
Focus風采戲劇台,https://ocean.ofiii.com/hls/v1/playlist/ZMDgZfMpUgk/master.m3u8
東森購物1台,https://ocean.ofiii.com/hls/v1/playlist/YJQAVIXGP5k/master.m3u8
龍華偶像台,https://ocean.ofiii.com/hls/v1/playlist/azg7InRZex4/master.m3u8
龍華日韓台,https://ocean.ofiii.com/hls/v1/playlist/A_Jra99rOKs/master.m3u8
Yes娛樂,https://ocean.ofiii.com/hls/v1/playlist/NMeOc1kJEio/master.m3u8
東森購物2台,https://ocean.ofiii.com/hls/v1/playlist/KA94dpz8oBg/master.m3u8
掏掏新聞,https://ocean.ofiii.com/hls/v1/playlist/kNRrqPH10xY/master.m3u8
華視新聞,https://ocean.ofiii.com/hls/v1/playlist/aQWD2oyn5go/master.m3u8
寰宇財經台,https://ocean.ofiii.com/hls/v1/playlist/x57gANi-fPQ/master.m3u8
台視新聞,https://ocean.ofiii.com/hls/v1/playlist/p3IuVPJ9qXs/master.m3u8
中視新聞,https://ocean.ofiii.com/hls/v1/playlist/Mnpz4SGgK_c/master.m3u8
中天新聞台,https://ocean.ofiii.com/hls/v1/playlist/deA6fAniJIU/master.m3u8
寰宇新聞台灣台,https://ocean.ofiii.com/hls/v1/playlist/n2NUW6LroLk/master.m3u8
寰宇新聞台,https://ocean.ofiii.com/hls/v1/playlist/AwZc0DSQXZo/master.m3u8
第1財經,https://ocean.ofiii.com/hls/v1/playlist/-9LwOrdVJOw/master.m3u8
第1商業台,https://ocean.ofiii.com/hls/v1/playlist/GRiRG9c-k0A/master.m3u8
國會頻道1台,https://ocean.ofiii.com/hls/v1/playlist/1SCE1qbjmF4/master.m3u8
國會頻道2台,https://ocean.ofiii.com/hls/v1/playlist/CEFLu1zfPNw/master.m3u8
龍華經典台,https://ocean.ofiii.com/hls/v1/playlist/J53V8wNkGz0/master.m3u8
龍華電影台,https://ocean.ofiii.com/hls/v1/playlist/ZkNb7XVioYU/master.m3u8
歐飛電影台,https://ocean.ofiii.com/hls/v1/playlist/_-u2u02suwQ/master.m3u8
Focus探索新知台,https://ocean.ofiii.com/hls/v1/playlist/6UYHust1Xfk/master.m3u8
東森購物快閃台,https://ocean.ofiii.com/hls/v1/playlist/sF9h--X-e6Y/master.m3u8
LiTV 好康優惠,https://ocean.ofiii.com/hls/v1/playlist/z7m8OE1eLkY/master.m3u8
銀髮聚樂部,https://ocean.ofiii.com/hls/v1/playlist/zii8GTWll5w/master.m3u8
琅琊榜,https://ocean.ofiii.com/hls/v1/playlist/jkSDFdqqaSM/master.m3u8
山河月明,https://ocean.ofiii.com/hls/v1/playlist/8jf7v_LBdKs/master.m3u8
三十而已,https://ocean.ofiii.com/hls/v1/playlist/ZUq9frH32aw/master.m3u8
去有風的地方,https://ocean.ofiii.com/hls/v1/playlist/0vC1g-a7iqs/master.m3u8
綜藝玩很大,https://ocean.ofiii.com/hls/v1/playlist/iJsnCHgrxdc/master.m3u8
全民星攻略,https://ocean.ofiii.com/hls/v1/playlist/3o5uP8orSu4/master.m3u8
台灣1001個故事,https://ocean.ofiii.com/hls/v1/playlist/5rN2drFcIDg/master.m3u8
台灣啟示錄,https://ocean.ofiii.com/hls/v1/playlist/p98QEisX0Ps/master.m3u8
歡迎來到第2人生,https://ocean.ofiii.com/hls/v1/playlist/lOOpWxnK96U/master.m3u8
大發不動產,https://ocean.ofiii.com/hls/v1/playlist/SLhMFIP9nIQ/master.m3u8
檢法男女2,https://ocean.ofiii.com/hls/v1/playlist/odsvwM1uK58/master.m3u8
台灣X檔案,https://ocean.ofiii.com/hls/v1/playlist/2HcYQV3Snmo/master.m3u8
大叔的愛,https://ocean.ofiii.com/hls/v1/playlist/Q-xZEmUgFHI/master.m3u8
SiCAR愛車酷,https://ocean.ofiii.com/hls/v1/playlist/VPBTb2se-8g/master.m3u8
Auto-Online 汽車線上情報誌,https://ocean.ofiii.com/hls/v1/playlist/RKVh1PO6Ziw/master.m3u8
