YoutubeTV,#genre#
中視新聞,http://127.0.0.1:3000/video/TCnaIE_SAtM.m3u8
台視新聞,http://127.0.0.1:3000/video/xL0ch83RAK8.m3u8
華視新聞,http://127.0.0.1:3000/video/wM0g8EoUZ_E.m3u8
民視新聞,http://127.0.0.1:3000/video/ylYJSBUgaMA.m3u8
東森財經新聞,http://127.0.0.1:3000/video/WHEPzbFA3hw.m3u8
東森娛樂台,http://127.0.0.1:3000/video/OQdX93g8Wos.m3u8
中天新聞,http://127.0.0.1:3000/video/NpmP3jIgcQI.m3u8
寰宇新聞,http://127.0.0.1:3000/video/B7Zp3d6xXWw.m3u8
三立iNEWS,http://127.0.0.1:3000/video/CKjSm5ZeehE.m3u8
公共電視,http://127.0.0.1:3000/channel/UCXgIO9jJVsX5_2ideiSkfvA.m3u8
TVBS新聞,http://127.0.0.1:3000/channel/UCL0_NxCvkcXwZHpvqgMZY-A.m3u8
鏡新聞,http://127.0.0.1:3000/channel/UC4LjkybVKXCDlneVXlKAbmw.m3u8
幸福空間居家台,http://127.0.0.1:3000/channel/UCoo-jAsJgM8z09ddlhcBlSA.m3u8
東森幼幼台,http://127.0.0.1:3000/channel/UCiWRSesvSYmY7YOyz0tv_zQ.m3u8
大愛一台,http://127.0.0.1:3000/video/MIqUplvSRWA.m3u8
大愛二台,http://127.0.0.1:3000/video/DTNkEm6jaqQ.m3u8
MOMO購物一台,http://127.0.0.1:3000/video/_pZQ1Lk0xMA.m3u8
MOMO購物二台,http://127.0.0.1:3000/video/xbNWkUyxQGM.m3u8
美好購物1台,http://127.0.0.1:3000/video/yuhgIlXwPh8.m3u8
美好購物2台,http://127.0.0.1:3000/video/LEOat38Iuao.m3u8
東森購物46台,http://127.0.0.1:3000/video/Z50JFuNgvB0.m3u8
東森購物60台,http://127.0.0.1:3000/video/u0NYyH3ZesE.m3u8
天才衝衝衝,http://127.0.0.1:3000/channel/UCdpxNQgqL3276yjrK03gMXA.m3u8
綜藝玩很大,http://127.0.0.1:3000/channel/UCQU5uVTG8h9LToACKrm1LMA.m3u8
飢餓遊戲,http://127.0.0.1:3000/channel/UCriy3vlLtiBov3nLdPLadUg.m3u8
以家人之名,http://127.0.0.1:3000/video/0dchv4MPOWA.m3u8
沉睡花園,http://127.0.0.1:3000/video/OGhK-uOmYPU.m3u8
我和我們在一起,http://127.0.0.1:3000/video/8v-FAXUqHVw.m3u8
琅琊榜,http://127.0.0.1:3000/video/_MOhQbKegXs.m3u8
知否知否應是綠肥紅瘦,http://127.0.0.1:3000/video/iZxJDOqg_E0.m3u8
公主小妹,http://127.0.0.1:3000/video/lz7WqYKTpo4.m3u8
犀利人妻,http://127.0.0.1:3000/video/HRwAMooYM3w.m3u8
我的自由年代,http://127.0.0.1:3000/video/XAZOVusFgLM.m3u8
我的寶貝四千金,http://127.0.0.1:3000/video/HbT8JZ3-Vzg.m3u8
華語經典音樂,http://127.0.0.1:3000/channel/UCJCg4enuciH7IlFIBaJ_NEQ.m3u8
網路流行音樂電台,http://127.0.0.1:3000/channel/UCcHWhgSsMBemnyLhg6GL1vA.m3u8
K-POP,http://127.0.0.1:3000/channel/UCPde4guD9yFBRzkxk2PatoA.m3u8
radio4relaxorstudy,http://127.0.0.1:3000/video/jfKfPfyJRdk.m3u8
radio4chillorgame,http://127.0.0.1:3000/video/MVPTGNGiI-4.m3u8
radio4sleeporchill,http://127.0.0.1:3000/video/rUxyKA_-grg.m3u8
